	ECAH1	ECAH2	ECAH3	ECAH4	ECAH5	ECAH6	ECG1	ECG2	ECG3	ECG4	ECG5	ECG6	ORAPG1	ORAPG2	ORAPG3	ORAPG4	ORAPG5	ORAPG6
Pocillopora_acuta_HIv2___RNAseq.15780_t	7	2	2	5	4	0	1	4	4	0	3	1	2	2	1	4	0	1
Pocillopora_acuta_HIv2___RNAseq.15878_t	33	17	8	21	3	7	23	34	23	25	36	26	34	30	25	108	89	44
Pocillopora_acuta_HIv2___RNAseq.15941_t	105	98	82	55	30	76	22	33	34	0	1	5	10	8	10	0	1	1
Pocillopora_acuta_HIv2___RNAseq.1597_t	81	50	48	61	68	63	61	42	40	51	47	47	56	59	55	63	55	45
Pocillopora_acuta_HIv2___RNAseq.16008_t	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.16039_t	16	15	27	22	13	12	26	18	20	14	14	14	7	4	6	5	5	3
Pocillopora_acuta_HIv2___RNAseq.16143_t	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.16153_t	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.16174_t	63	39	45	68	38	52	41	42	56	26	30	21	33	46	38	63	38	21
Pocillopora_acuta_HIv2___RNAseq.16191_t	11	10	8	15	12	11	11	4	9	12	5	3	9	7	8	18	12	10
Pocillopora_acuta_HIv2___RNAseq.16206_t	3	1	0	0	1	0	7	1	3	11	7	7	2	3	6	32	17	15
Pocillopora_acuta_HIv2___RNAseq.1643_t	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.16656_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.16666_t	2	1	4	5	5	3	6	6	8	7	4	5	5	4	1	16	10	6
Pocillopora_acuta_HIv2___RNAseq.16683_t	21	13	16	30	10	20	22	11	22	17	11	11	5	9	16	15	16	8
Pocillopora_acuta_HIv2___RNAseq.16698_t	0	2	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.16779_t	16	17	14	18	10	17	16	8	16	10	8	8	11	17	12	21	11	4
Pocillopora_acuta_HIv2___RNAseq.16791_t	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
Pocillopora_acuta_HIv2___RNAseq.16830_t	50	47	30	29	36	29	46	47	67	26	43	32	32	39	24	64	32	35
Pocillopora_acuta_HIv2___RNAseq.16864_t	33	22	24	44	30	33	24	20	24	14	26	12	17	22	27	22	21	7
Pocillopora_acuta_HIv2___RNAseq.1687_t	7	2	3	1	6	4	5	3	3	2	3	4	1	1	7	7	5	2
Pocillopora_acuta_HIv2___RNAseq.16889_t	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2
Pocillopora_acuta_HIv2___RNAseq.16909_t	1	0	3	0	1	1	0	1	0	1	0	0	1	0	2	1	2	0
Pocillopora_acuta_HIv2___RNAseq.16999_t	2	2	2	8	1	6	2	5	1	2	4	1	1	0	1	1	0	1
Pocillopora_acuta_HIv2___RNAseq.17055_t	4	0	1	3	0	1	1	2	3	2	2	1	1	6	2	14	7	5
Pocillopora_acuta_HIv2___RNAseq.17064_t	2	1	1	3	4	1	0	2	3	0	1	1	3	1	3	0	1	1
Pocillopora_acuta_HIv2___RNAseq.17079_t	17	7	14	6	5	4	6	6	6	3	5	2	4	2	9	2	2	1
Pocillopora_acuta_HIv2___RNAseq.17183_t	108	74	61	48	57	80	62	68	51	26	61	52	95	74	71	77	63	30
Pocillopora_acuta_HIv2___RNAseq.17185_t	9	6	4	7	3	5	5	5	1	1	2	1	1	1	4	2	1	1
Pocillopora_acuta_HIv2___RNAseq.1718_t	30	21	31	33	24	21	21	22	22	10	19	6	15	13	21	38	27	31
Pocillopora_acuta_HIv2___RNAseq.17249_t	3	0	1	0	0	1	0	1	0	0	1	1	2	1	0	0	2	3
Pocillopora_acuta_HIv2___RNAseq.17382_t	1	0	1	3	3	1	3	1	15	0	4	2	5	2	12	10	18	3
Pocillopora_acuta_HIv2___RNAseq.17467_t	3	2	3	3	0	1	3	3	2	9	12	8	10	7	9	36	21	15
Pocillopora_acuta_HIv2___RNAseq.17575_t	2	2	2	1	1	2	6	3	1	1	0	1	2	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.17740_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.17790_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1786_t	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.17885_t	92	73	68	92	75	61	99	91	109	65	61	43	56	77	92	97	86	44
Pocillopora_acuta_HIv2___RNAseq.179_t	1	0	1	1	1	0	2	1	2	1	1	0	1	3	4	0	2	0
Pocillopora_acuta_HIv2___RNAseq.18032_t	6	2	4	4	6	5	148	136	156	77	62	65	2	3	2	5	3	0
Pocillopora_acuta_HIv2___RNAseq.18045_t	14	6	7	1	4	4	1	2	3	2	3	0	3	1	1	0	1	0
Pocillopora_acuta_HIv2___RNAseq.1805_t	29	15	26	46	34	27	31	21	35	16	21	9	14	21	23	52	17	16
Pocillopora_acuta_HIv2___RNAseq.18068_t	27	8	16	6	9	14	15	12	16	7	9	6	15	12	12	4	5	1
Pocillopora_acuta_HIv2___RNAseq.18074_t	46	32	39	58	51	37	51	34	48	35	34	13	38	32	47	79	66	36
Pocillopora_acuta_HIv2___RNAseq.18107_t	61	61	40	45	22	34	44	48	41	26	36	22	38	23	44	17	21	11
Pocillopora_acuta_HIv2___RNAseq.18284_t	1	4	2	4	0	2	1	1	2	2	0	0	1	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.18338_t	2	4	4	5	2	11	1	2	1	1	1	1	2	6	3	0	1	0
Pocillopora_acuta_HIv2___RNAseq.18339_t	0	0	0	1	0	0	1	1	5	0	0	0	1	2	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.18344_t	36	15	28	57	28	24	23	23	28	15	19	16	29	33	30	30	37	21
Pocillopora_acuta_HIv2___RNAseq.18499_t	18	14	8	3	0	6	5	14	12	3	0	4	15	13	10	23	18	27
Pocillopora_acuta_HIv2___RNAseq.18550_t	14	14	21	37	29	16	6	10	7	8	8	2	8	12	10	27	22	11
Pocillopora_acuta_HIv2___RNAseq.18718_t	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.18721_t	765	483	571	249	203	225	668	903	487	63	140	89	167	209	208	26	77	17
Pocillopora_acuta_HIv2___RNAseq.18735_t	4	5	3	12	9	6	8	6	10	4	4	2	6	7	7	3	5	2
Pocillopora_acuta_HIv2___RNAseq.18741_t	8	11	10	19	11	11	10	9	14	10	7	6	19	15	17	13	19	7
Pocillopora_acuta_HIv2___RNAseq.18788_t	29	5	10	9	6	6	15	8	16	4	4	3	4	21	8	1	1	2
Pocillopora_acuta_HIv2___RNAseq.18850_t	3	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1
Pocillopora_acuta_HIv2___RNAseq.18888_t	3	7	3	7	2	2	7	5	2	0	0	0	1	1	2	2	1	1
Pocillopora_acuta_HIv2___RNAseq.18963_t	9	10	6	11	4	12	12	9	7	3	4	2	8	6	7	4	8	2
Pocillopora_acuta_HIv2___RNAseq.19049_t	114	80	83	75	83	84	60	87	68	39	44	18	53	47	50	43	39	29
Pocillopora_acuta_HIv2___RNAseq.19108_t	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1911_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1912_t	14	9	11	16	8	11	10	9	19	6	10	6	8	9	15	16	13	9
Pocillopora_acuta_HIv2___RNAseq.19150_t	1	1	2	1	0	0	0	0	1	0	0	1	2	0	1	3	2	1
Pocillopora_acuta_HIv2___RNAseq.19153_t	1	1	0	2	0	0	0	1	0	0	0	0	0	2	2	2	2	1
Pocillopora_acuta_HIv2___RNAseq.19192_t	5	3	1	3	3	0	4	2	2	0	2	1	2	4	2	1	3	3
Pocillopora_acuta_HIv2___RNAseq.19207_t	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.19240_t	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.19256_t	0	0	0	0	0	1	1	1	1	1	0	0	0	1	3	1	1	0
Pocillopora_acuta_HIv2___RNAseq.19307_t	15	16	17	22	12	19	13	16	23	11	11	11	26	16	14	14	16	10
Pocillopora_acuta_HIv2___RNAseq.19507_t	1	3	2	2	0	3	3	2	4	1	4	3	3	4	7	1	3	2
Pocillopora_acuta_HIv2___RNAseq.19571_t	22	14	13	11	9	18	10	11	13	6	16	9	13	6	17	5	6	5
Pocillopora_acuta_HIv2___RNAseq.19623_t	1	1	1	0	0	0	0	1	1	1	0	0	4	1	2	4	4	3
