	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___TS.g1240.t1a	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g1240.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pocillopora_acuta_HIv2___TS.g1240.t1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12404.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12405.t1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___TS.g1241.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12420.t2	7	4	5	5	15	14	14	5	10	2	3	2	16	4	13
Pocillopora_acuta_HIv2___TS.g12428.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g1243.t1	1	0	0	0	0	0	1	1	0	0	0	0	0	3	3
Pocillopora_acuta_HIv2___TS.g12436.t1a	904	767	785	33	32	21	1272	848	589	0	0	1	0	0	0
Pocillopora_acuta_HIv2___TS.g12436.t1b	2	1	0	2	2	4	5	2	0	0	1	0	18	5	8
Pocillopora_acuta_HIv2___TS.g12438.t1	4	0	0	5	0	0	0	1	0	2	11	3	6	2	10
Pocillopora_acuta_HIv2___TS.g12440.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12442.t1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2
Pocillopora_acuta_HIv2___TS.g12443.t1	12	8	8	9	39	20	3	2	7	0	1	5	4	2	2
Pocillopora_acuta_HIv2___TS.g12453.t2	11	9	12	87	124	79	8	5	9	35	22	13	114	74	157
Pocillopora_acuta_HIv2___TS.g12455.t1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1
Pocillopora_acuta_HIv2___TS.g12456.t2	5	2	3	2	1	1	2	6	4	6	5	6	4	5	15
Pocillopora_acuta_HIv2___TS.g12458.t1	11	5	8	1	7	3	7	3	9	1	1	1	16	5	8
Pocillopora_acuta_HIv2___TS.g12465.t1	1349	1142	1080	686	915	693	1562	1232	1309	1555	1495	1350	1685	1401	1714
Pocillopora_acuta_HIv2___TS.g12467.t1	18	10	13	4	5	5	9	11	8	3	23	16	10	7	6
Pocillopora_acuta_HIv2___TS.g1247.t1	866	661	714	493	609	660	815	649	820	641	665	727	970	638	838
Pocillopora_acuta_HIv2___TS.g12472.t1	12	10	4	2	2	2	17	7	27	0	1	1	21	9	16
Pocillopora_acuta_HIv2___TS.g12475.t1	7	7	8	8	6	21	18	15	18	10	3	3	6	8	3
Pocillopora_acuta_HIv2___TS.g12477.t1	0	0	0	2	2	2	0	5	1	0	0	0	11	5	13
Pocillopora_acuta_HIv2___TS.g12478.t4	103	88	73	41	46	25	322	263	613	286	284	484	259	134	188
Pocillopora_acuta_HIv2___TS.g12479.t1	188	171	290	62	90	82	213	178	126	108	171	174	182	133	301
Pocillopora_acuta_HIv2___TS.g1248.t1	4	4	2	13	9	14	3	4	1	10	9	7	32	27	33
Pocillopora_acuta_HIv2___TS.g12480.t1	8	7	10	7	5	3	9	11	5	2	2	1	8	3	16
Pocillopora_acuta_HIv2___TS.g12494.t1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12509.t1	1	1	1	2	2	1	1	0	0	2	2	0	2	0	0
Pocillopora_acuta_HIv2___TS.g12519.t1	0	1	0	0	0	4	0	1	1	1	1	2	2	0	3
Pocillopora_acuta_HIv2___TS.g12526.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___TS.g12529.t1	22	18	16	28	61	66	20	25	22	18	10	18	69	63	85
Pocillopora_acuta_HIv2___TS.g1253.t1	0	0	0	0	0	0	0	2	1	0	1	0	1	1	0
Pocillopora_acuta_HIv2___TS.g12530.t1	233	158	180	190	295	317	199	175	231	153	123	158	488	258	381
Pocillopora_acuta_HIv2___TS.g12538.t2	6	5	9	16	24	31	9	7	8	7	3	5	61	27	33
Pocillopora_acuta_HIv2___TS.g12539.t1	25	24	18	23	37	32	9	10	14	20	21	16	49	31	31
Pocillopora_acuta_HIv2___TS.g12547.t1	4	5	2	0	1	0	3	0	0	2	4	4	2	1	1
Pocillopora_acuta_HIv2___TS.g12548.t1	3	1	0	2	4	1	0	0	0	0	0	0	1	1	3
Pocillopora_acuta_HIv2___TS.g12551.t1	4	1	12	3	7	4	6	5	9	5	7	6	9	5	10
Pocillopora_acuta_HIv2___TS.g12555.t1	198	179	129	116	195	143	148	130	175	137	169	202	374	202	342
Pocillopora_acuta_HIv2___TS.g12558.t1	8	9	8	6	21	12	8	6	7	4	4	7	12	10	14
Pocillopora_acuta_HIv2___TS.g12560.t2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12561.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12567.t1	76	46	60	58	50	68	88	66	80	96	124	131	130	84	138
Pocillopora_acuta_HIv2___TS.g12572.t1	1	3	0	5	4	9	3	1	0	1	1	2	12	7	12
Pocillopora_acuta_HIv2___TS.g12579.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12584.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12601.t1	26	10	8	10	12	24	16	13	10	14	16	28	28	22	32
Pocillopora_acuta_HIv2___TS.g12602.t1	2	0	5	0	0	3	0	0	0	1	0	1	2	2	1
Pocillopora_acuta_HIv2___TS.g12614.t1	209	227	187	207	299	254	199	156	178	183	140	193	308	186	284
Pocillopora_acuta_HIv2___TS.g12622.t1	2	0	2	0	1	0	3	2	0	0	0	0	1	1	1
Pocillopora_acuta_HIv2___TS.g12638.t2	8	9	12	4	6	7	8	10	8	8	11	12	21	8	20
Pocillopora_acuta_HIv2___TS.g12642.t2	11	7	5	9	13	18	11	3	5	3	7	9	13	5	16
Pocillopora_acuta_HIv2___TS.g12649.t1	27	32	22	10	18	7	34	47	37	21	35	38	23	11	20
Pocillopora_acuta_HIv2___TS.g12653.t1	18	9	19	10	17	23	17	10	16	9	11	11	20	11	20
Pocillopora_acuta_HIv2___TS.g12658.t2a	24	13	13	9	32	19	22	11	7	4	3	5	24	12	30
Pocillopora_acuta_HIv2___TS.g12658.t2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12658.t2c	1	0	0	0	0	0	0	1	0	0	1	0	1	0	2
Pocillopora_acuta_HIv2___TS.g12659.t1	206	159	121	133	212	184	160	136	144	83	78	95	318	176	294
Pocillopora_acuta_HIv2___TS.g12676.t1	2	3	2	0	2	2	1	4	0	2	2	2	2	0	1
Pocillopora_acuta_HIv2___TS.g12678.t1	7	2	2	17	41	22	7	3	4	3	3	8	35	25	21
Pocillopora_acuta_HIv2___TS.g12680.t1	46	48	53	8	10	12	38	35	42	65	52	48	99	80	76
Pocillopora_acuta_HIv2___TS.g12681.t1	1	2	0	1	6	5	0	1	2	2	0	1	2	5	5
Pocillopora_acuta_HIv2___TS.g12683.t1	12	11	9	8	8	9	2	1	0	2	2	5	23	18	17
Pocillopora_acuta_HIv2___TS.g12684.t1	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0
Pocillopora_acuta_HIv2___TS.g12685.t1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2
Pocillopora_acuta_HIv2___TS.g12697.t2	0	0	0	2	1	1	2	0	0	0	0	0	2	4	2
Pocillopora_acuta_HIv2___TS.g12698.t1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g127.t1	2	6	5	2	4	5	5	4	5	1	0	0	12	7	10
Pocillopora_acuta_HIv2___TS.g12700.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12701.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___TS.g12707.t1a	24	14	23	3	4	7	10	3	11	8	16	10	18	10	9
Pocillopora_acuta_HIv2___TS.g12707.t1b	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___TS.g12707.t1c	1	2	5	1	2	0	2	3	1	2	2	2	3	1	1
Pocillopora_acuta_HIv2___TS.g12711.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12730.t1	0	0	0	6	3	3	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12733.t1	0	1	0	2	1	2	2	1	1	1	1	0	2	0	0
Pocillopora_acuta_HIv2___TS.g12742.t1	13	7	11	7	6	5	4	7	5	2	5	7	18	9	13
Pocillopora_acuta_HIv2___TS.g12743.t1a	0	0	0	1	0	2	0	0	0	2	2	5	7	6	2
Pocillopora_acuta_HIv2___TS.g12743.t1b	4	0	3	1	2	2	11	7	5	0	0	0	0	1	0
Pocillopora_acuta_HIv2___TS.g12750.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12750.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12750.t1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12750.t1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12750.t1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12762.t1	0	1	0	0	0	0	0	0	0	0	0	0	36	25	38
Pocillopora_acuta_HIv2___TS.g12763.t1	0	1	0	0	1	0	0	0	0	0	0	0	3	2	4
Pocillopora_acuta_HIv2___TS.g12765.t1a	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12765.t1b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12773.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12778.t1	6	3	3	0	0	1	1	0	1	0	1	0	2	3	4
Pocillopora_acuta_HIv2___TS.g12783.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12784.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12785.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12788.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12789.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12790.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12793.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g1280.t1	2	0	2	1	4	6	6	2	2	0	1	0	3	2	5
Pocillopora_acuta_HIv2___TS.g12800.t1	9	11	4	6	15	7	6	5	2	6	9	11	14	18	18
Pocillopora_acuta_HIv2___TS.g1281.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12810.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12811.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12812.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12819.t1	0	0	0	0	3	4	1	0	1	0	0	0	3	0	1
Pocillopora_acuta_HIv2___TS.g12822.t1	65	36	33	43	75	42	16	11	22	27	17	19	83	39	63
Pocillopora_acuta_HIv2___TS.g12824.t1	57	53	56	22	40	18	64	58	42	41	38	49	45	47	47
Pocillopora_acuta_HIv2___TS.g12826.t1	2	4	5	3	7	2	5	3	2	3	5	2	8	7	3
Pocillopora_acuta_HIv2___TS.g12827.t1	3	3	1	1	3	0	5	1	1	3	3	2	3	7	2
Pocillopora_acuta_HIv2___TS.g12833.t1	1	1	2	1	1	2	1	2	0	0	0	0	2	0	1
Pocillopora_acuta_HIv2___TS.g1284.t1	6	1	3	1	0	0	0	0	0	1	2	2	0	1	2
Pocillopora_acuta_HIv2___TS.g12841.t3	81	37	29	63	79	83	46	43	91	26	37	37	142	80	146
Pocillopora_acuta_HIv2___TS.g12842.t1	63	47	30	20	18	23	16	25	28	25	43	33	108	64	73
Pocillopora_acuta_HIv2___TS.g12846.t1	9	12	11	1	3	4	4	3	6	16	18	25	6	2	6
Pocillopora_acuta_HIv2___TS.g12848.t1	7	7	3	5	15	6	7	2	4	2	11	15	14	11	19
Pocillopora_acuta_HIv2___TS.g12849.t1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0
Pocillopora_acuta_HIv2___TS.g12852.t1	1	4	3	0	0	1	0	0	1	0	0	0	1	2	2
Pocillopora_acuta_HIv2___TS.g12855.t1	14	11	5	5	13	7	7	0	1	1	2	3	16	5	8
Pocillopora_acuta_HIv2___TS.g12856.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12860.t1	16	11	6	17	29	10	4	10	10	4	6	6	13	11	12
Pocillopora_acuta_HIv2___TS.g12875.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12886.t1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12887.t1	31	22	23	97	145	114	27	18	24	13	10	20	212	115	164
Pocillopora_acuta_HIv2___TS.g12889.t1	13	8	18	4	5	3	25	18	29	8	8	10	7	7	8
Pocillopora_acuta_HIv2___TS.g12891.t1	1	1	1	1	1	2	2	0	1	0	1	1	1	4	2
Pocillopora_acuta_HIv2___TS.g12903.t2	10	14	7	2	14	3	4	6	5	3	4	2	6	4	9
Pocillopora_acuta_HIv2___TS.g12904.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12905.t1	2	2	3	2	2	5	0	1	1	2	1	0	4	8	2
Pocillopora_acuta_HIv2___TS.g12914.t1	399	271	298	317	508	491	387	345	391	227	229	310	994	534	757
Pocillopora_acuta_HIv2___TS.g12917.t1	17	9	15	11	9	15	8	9	6	11	5	11	26	14	31
Pocillopora_acuta_HIv2___TS.g12920.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12926.t1a	33	31	14	53	97	62	23	19	28	24	10	14	138	97	128
Pocillopora_acuta_HIv2___TS.g12926.t1b	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___TS.g12926.t1c	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Pocillopora_acuta_HIv2___TS.g12935.t1	4	3	0	2	1	4	1	0	0	1	2	4	5	5	0
Pocillopora_acuta_HIv2___TS.g12938.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___TS.g12944.t1	71	102	90	75	117	91	88	66	73	44	49	57	140	84	138
Pocillopora_acuta_HIv2___TS.g12945.t1	12	10	14	8	17	10	11	8	13	4	7	7	26	22	23
Pocillopora_acuta_HIv2___TS.g12949.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12955.t1a	0	2	0	0	3	2	0	0	0	0	0	0	2	0	1
Pocillopora_acuta_HIv2___TS.g12955.t1b	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12955.t1c	0	0	0	0	1	2	0	0	0	0	0	0	2	0	1
Pocillopora_acuta_HIv2___TS.g12958.t1	14	21	11	8	33	18	5	8	5	1	2	0	9	7	23
Pocillopora_acuta_HIv2___TS.g12961.t1	1	2	2	3	2	4	1	0	1	1	0	0	4	3	1
Pocillopora_acuta_HIv2___TS.g12971.t1	2	2	2	1	2	0	1	1	0	0	1	0	2	2	1
Pocillopora_acuta_HIv2___TS.g12975.t1	26	13	20	20	30	29	35	34	41	28	28	34	83	45	44
Pocillopora_acuta_HIv2___TS.g12977.t1	3	3	0	1	7	5	2	1	2	1	0	1	9	4	8
Pocillopora_acuta_HIv2___TS.g12980.t1	14	7	0	9	13	18	13	12	9	3	2	5	36	14	29
Pocillopora_acuta_HIv2___TS.g12990.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g12995.t1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0
Pocillopora_acuta_HIv2___TS.g12998.t1	5	2	7	3	7	4	4	2	3	3	4	3	5	4	6
Pocillopora_acuta_HIv2___TS.g13008.t1	13	12	10	17	18	11	12	9	19	21	16	7	30	11	22
Pocillopora_acuta_HIv2___TS.g13016.t1	0	0	1	0	1	0	0	0	0	0	1	0	5	0	2
Pocillopora_acuta_HIv2___TS.g13017.t1	31	21	28	36	42	50	15	24	24	15	14	13	73	41	66
Pocillopora_acuta_HIv2___TS.g13025.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13028.t1	36	24	22	15	23	34	41	40	52	25	29	40	66	32	30
Pocillopora_acuta_HIv2___TS.g13031.t1	10	9	9	20	43	30	14	14	12	14	13	15	63	27	62
Pocillopora_acuta_HIv2___TS.g13033.t1	19	21	20	38	59	65	31	18	27	28	19	27	147	90	102
Pocillopora_acuta_HIv2___TS.g13043.t1	3	0	0	1	5	1	2	0	1	1	1	0	4	2	5
Pocillopora_acuta_HIv2___TS.g13052.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13057.t2	160	111	132	170	220	159	213	180	180	173	145	144	303	236	340
Pocillopora_acuta_HIv2___TS.g13060.t1	22	14	8	17	31	17	15	8	17	5	9	7	41	31	41
Pocillopora_acuta_HIv2___TS.g13061.t1	30	33	24	110	179	124	36	44	30	38	34	41	213	137	207
Pocillopora_acuta_HIv2___TS.g13071.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13076.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13082.t2	19	20	21	26	39	24	12	7	8	13	19	16	33	23	38
Pocillopora_acuta_HIv2___TS.g13083.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13088.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13093.t1	0	3	2	0	2	2	0	0	0	0	0	0	1	1	0
Pocillopora_acuta_HIv2___TS.g13094.t1	23	22	21	16	18	16	17	12	4	14	14	15	22	16	17
Pocillopora_acuta_HIv2___TS.g13099.t1	37	31	28	26	65	44	22	13	22	25	18	9	76	67	75
Pocillopora_acuta_HIv2___TS.g1310.t1	20	10	8	17	19	22	11	17	14	1	10	11	24	24	19
Pocillopora_acuta_HIv2___TS.g13102.t4	23	20	23	34	45	26	19	19	19	20	25	14	44	30	50
Pocillopora_acuta_HIv2___TS.g13106.t1	47	37	28	17	25	18	29	23	30	24	33	37	29	21	25
Pocillopora_acuta_HIv2___TS.g13115.t1	8	5	9	20	17	15	10	11	10	13	13	14	16	7	21
Pocillopora_acuta_HIv2___TS.g13125.t1	5	1	2	1	2	3	3	3	3	0	0	0	1	3	3
Pocillopora_acuta_HIv2___TS.g13129.t1	121	67	144	121	204	176	109	100	118	170	177	194	279	217	282
Pocillopora_acuta_HIv2___TS.g13131.t2	4	4	5	2	8	2	0	4	5	4	3	2	11	3	12
Pocillopora_acuta_HIv2___TS.g13134.t1	83	69	67	45	67	57	77	61	61	81	76	82	112	83	95
Pocillopora_acuta_HIv2___TS.g13136.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Pocillopora_acuta_HIv2___TS.g13137.t1	0	0	0	2	0	1	1	1	0	2	0	2	0	0	0
Pocillopora_acuta_HIv2___TS.g13138.t1	0	1	0	0	1	1	1	0	2	0	0	0	1	3	0
Pocillopora_acuta_HIv2___TS.g13140.t1	0	1	1	0	4	2	0	1	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___TS.g13141.t1	13	14	5	2	2	12	10	8	14	6	0	3	33	13	23
Pocillopora_acuta_HIv2___TS.g13143.t1	19	19	16	16	8	9	22	23	15	14	12	13	34	12	18
Pocillopora_acuta_HIv2___TS.g13146.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13149.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13150.t1	3	3	8	8	9	6	8	8	3	10	8	11	8	10	13
Pocillopora_acuta_HIv2___TS.g13157.t1	11	15	25	21	31	22	36	44	57	10	7	12	38	22	35
Pocillopora_acuta_HIv2___TS.g1316.t1	35	26	20	27	37	22	51	35	26	8	27	36	109	55	81
Pocillopora_acuta_HIv2___TS.g13170.t1	1	0	1	1	0	0	0	2	0	1	1	1	1	0	0
Pocillopora_acuta_HIv2___TS.g13174.t1	62	47	41	47	74	49	64	63	60	53	35	40	99	66	76
Pocillopora_acuta_HIv2___TS.g13175.t1	0	0	0	0	0	1	0	0	0	0	0	0	5	2	4
Pocillopora_acuta_HIv2___TS.g13187.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13187.t1b	9	6	5	13	7	10	12	10	10	14	10	10	15	15	18
Pocillopora_acuta_HIv2___TS.g13192.t1	16	17	17	22	23	16	20	24	18	11	14	17	24	21	27
Pocillopora_acuta_HIv2___TS.g13197.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g1320.t3	50	36	28	170	222	255	148	119	181	114	132	109	238	127	210
Pocillopora_acuta_HIv2___TS.g13200.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13203.t1	0	0	1	5	6	3	8	5	9	3	0	3	3	1	3
Pocillopora_acuta_HIv2___TS.g13206.t1	42	23	28	6	16	12	19	18	24	11	14	17	34	15	42
Pocillopora_acuta_HIv2___TS.g13212.t1	6	3	2	1	2	3	8	1	3	4	0	4	12	10	20
Pocillopora_acuta_HIv2___TS.g13215.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13216.t1	9	7	11	5	7	14	15	17	18	14	14	15	12	5	11
Pocillopora_acuta_HIv2___TS.g1322.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13222.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13222.t1b	511	575	383	2045	1900	1835	253	345	623	216	183	206	3257	2106	2849
Pocillopora_acuta_HIv2___TS.g13223.t1	30	27	36	15	25	23	27	36	23	6	11	26	30	19	29
Pocillopora_acuta_HIv2___TS.g13227.t1	24	27	21	77	76	61	18	21	8	27	17	25	117	90	134
Pocillopora_acuta_HIv2___TS.g1324.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13244.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___TS.g13249.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g1325.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___TS.g13262.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13266.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13272.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13281.t1	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0
Pocillopora_acuta_HIv2___TS.g13282.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g1329.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13295.t1a	1	1	0	1	0	0	1	0	0	0	2	2	1	1	0
Pocillopora_acuta_HIv2___TS.g13295.t1b	18	10	11	10	11	9	12	9	10	7	3	11	28	17	30
Pocillopora_acuta_HIv2___TS.g13296.t1	22	17	20	3	12	7	3	2	0	5	6	6	13	9	8
Pocillopora_acuta_HIv2___TS.g133.t2	29	28	29	19	46	29	24	17	21	24	22	19	75	48	55
Pocillopora_acuta_HIv2___TS.g13302.t1	3	3	1	3	4	6	97	105	92	42	31	51	3	1	1
Pocillopora_acuta_HIv2___TS.g13304.t1a	27	9	13	21	34	26	16	21	17	13	12	17	44	26	50
Pocillopora_acuta_HIv2___TS.g13304.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13304.t1c	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___TS.g13308.t1	3	6	4	32	50	65	8	14	19	8	13	10	24	12	20
Pocillopora_acuta_HIv2___TS.g13309.t1	25	28	23	36	44	40	33	15	34	53	39	45	15	5	11
Pocillopora_acuta_HIv2___TS.g13319.t1	5	1	3	10	19	13	4	3	4	1	3	2	1	0	5
Pocillopora_acuta_HIv2___TS.g1332.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13324.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13324.t1b	2	3	1	0	1	3	1	2	3	0	0	1	2	1	3
Pocillopora_acuta_HIv2___TS.g13324.t1c	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13325.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13326.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13326.t1b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13326.t1c	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13327.t1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Pocillopora_acuta_HIv2___TS.g13329.t1	3	2	0	1	3	1	1	1	0	1	0	0	2	0	2
Pocillopora_acuta_HIv2___TS.g13335.t1	14	5	8	19	21	16	19	15	15	75	74	78	69	39	89
Pocillopora_acuta_HIv2___TS.g1334.t1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13342.t1	4	1	0	0	0	0	2	0	0	1	2	0	0	0	0
Pocillopora_acuta_HIv2___TS.g13352.t1	5	12	10	9	16	7	5	2	2	7	7	4	5	1	3
Pocillopora_acuta_HIv2___TS.g13354.t1	14	9	6	1	7	4	5	3	4	10	7	10	7	2	2
