	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.15066_t	58	57	49	47	72	49	48	62	70	45	58	66	167	119	156
Pocillopora_acuta_HIv2___RNAseq.15099_t	28	19	25	12	15	12	12	15	6	9	16	18	18	15	12
Pocillopora_acuta_HIv2___RNAseq.15117_t	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15123_t	2	0	1	1	1	0	0	0	0	0	0	0	1	0	2
Pocillopora_acuta_HIv2___RNAseq.15128_t	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15134_t	22	11	27	18	15	26	7	10	11	8	12	10	60	33	28
Pocillopora_acuta_HIv2___RNAseq.15138_t	10	13	9	9	3	5	31	1	17	10	18	17	73	80	76
Pocillopora_acuta_HIv2___RNAseq.1514_t	4	4	4	1	1	4	3	3	4	2	4	3	4	0	4
Pocillopora_acuta_HIv2___RNAseq.1528_t	2	0	2	0	1	0	21	24	24	0	0	0	2	0	1
Pocillopora_acuta_HIv2___RNAseq.15301_t	0	2	3	0	0	1	3	6	5	3	5	1	1	0	2
Pocillopora_acuta_HIv2___RNAseq.15343_t	26	21	19	7	17	17	22	18	25	9	18	21	46	11	32
Pocillopora_acuta_HIv2___RNAseq.15532_t	20	10	11	15	12	16	0	0	0	11	10	9	37	30	49
Pocillopora_acuta_HIv2___RNAseq.1568_t	57	30	42	58	43	58	47	28	53	46	34	44	144	56	77
Pocillopora_acuta_HIv2___RNAseq.15738_t	0	0	0	0	0	1	0	0	1	0	0	0	28	19	33
Pocillopora_acuta_HIv2___RNAseq.15744_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15780_t	7	2	2	2	2	5	1	4	4	2	2	1	8	4	5
Pocillopora_acuta_HIv2___RNAseq.15878_t	33	17	8	55	74	97	23	34	23	34	30	25	191	99	155
Pocillopora_acuta_HIv2___RNAseq.15941_t	105	98	82	101	206	259	22	33	34	10	8	10	265	169	276
Pocillopora_acuta_HIv2___RNAseq.1597_t	81	50	48	152	186	147	61	42	40	56	59	55	245	186	264
Pocillopora_acuta_HIv2___RNAseq.16008_t	1	0	0	0	2	0	0	0	0	0	1	0	2	1	1
Pocillopora_acuta_HIv2___RNAseq.16039_t	16	15	27	5	7	8	26	18	20	7	4	6	4	1	1
Pocillopora_acuta_HIv2___RNAseq.16143_t	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.16153_t	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.16174_t	63	39	45	61	99	74	41	42	56	33	46	38	195	105	163
Pocillopora_acuta_HIv2___RNAseq.16191_t	11	10	8	6	12	4	11	4	9	9	7	8	21	7	9
Pocillopora_acuta_HIv2___RNAseq.16206_t	3	1	0	1	1	0	7	1	3	2	3	6	3	3	1
Pocillopora_acuta_HIv2___RNAseq.1643_t	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.16656_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.16666_t	2	1	4	7	11	8	6	6	8	5	4	1	32	15	25
Pocillopora_acuta_HIv2___RNAseq.16683_t	21	13	16	5	18	13	22	11	22	5	9	16	19	18	21
Pocillopora_acuta_HIv2___RNAseq.16698_t	0	2	0	0	1	1	0	1	2	0	0	0	3	0	0
Pocillopora_acuta_HIv2___RNAseq.16779_t	16	17	14	10	22	8	16	8	16	11	17	12	31	13	22
Pocillopora_acuta_HIv2___RNAseq.16791_t	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.16830_t	50	47	30	44	57	50	46	47	67	32	39	24	136	72	100
Pocillopora_acuta_HIv2___RNAseq.16864_t	33	22	24	33	38	31	24	20	24	17	22	27	82	45	81
Pocillopora_acuta_HIv2___RNAseq.1687_t	7	2	3	5	5	6	5	3	3	1	1	7	16	6	12
Pocillopora_acuta_HIv2___RNAseq.16889_t	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1
Pocillopora_acuta_HIv2___RNAseq.16909_t	1	0	3	0	1	1	0	1	0	1	0	2	1	0	0
Pocillopora_acuta_HIv2___RNAseq.16999_t	2	2	2	0	1	2	2	5	1	1	0	1	5	2	5
Pocillopora_acuta_HIv2___RNAseq.17055_t	4	0	1	1	3	3	1	2	3	1	6	2	8	6	6
Pocillopora_acuta_HIv2___RNAseq.17064_t	2	1	1	2	3	3	0	2	3	3	1	3	13	4	12
Pocillopora_acuta_HIv2___RNAseq.17079_t	17	7	14	8	5	3	6	6	6	4	2	9	9	8	8
Pocillopora_acuta_HIv2___RNAseq.17183_t	108	74	61	112	130	119	62	68	51	95	74	71	250	169	259
Pocillopora_acuta_HIv2___RNAseq.17185_t	9	6	4	1	0	3	5	5	1	1	1	4	10	4	10
Pocillopora_acuta_HIv2___RNAseq.1718_t	30	21	31	28	41	52	21	22	22	15	13	21	83	46	71
Pocillopora_acuta_HIv2___RNAseq.17249_t	3	0	1	1	0	0	0	1	0	2	1	0	3	1	2
Pocillopora_acuta_HIv2___RNAseq.17382_t	1	0	1	12	3	6	3	1	15	5	2	12	46	25	39
Pocillopora_acuta_HIv2___RNAseq.17467_t	3	2	3	14	21	8	3	3	2	10	7	9	11	9	16
Pocillopora_acuta_HIv2___RNAseq.17575_t	2	2	2	4	15	7	6	3	1	2	0	1	21	6	12
Pocillopora_acuta_HIv2___RNAseq.17740_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.17790_t	0	0	0	0	0	0	0	0	0	0	0	1	92	61	50
Pocillopora_acuta_HIv2___RNAseq.1786_t	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.17885_t	92	73	68	65	68	107	99	91	109	56	77	92	188	101	138
Pocillopora_acuta_HIv2___RNAseq.179_t	1	0	1	1	4	0	2	1	2	1	3	4	0	0	0
Pocillopora_acuta_HIv2___RNAseq.18032_t	6	2	4	5	19	16	148	136	156	2	3	2	8	6	12
Pocillopora_acuta_HIv2___RNAseq.18045_t	14	6	7	1	0	2	1	2	3	3	1	1	4	6	4
Pocillopora_acuta_HIv2___RNAseq.1805_t	29	15	26	23	42	32	31	21	35	14	21	23	95	49	62
Pocillopora_acuta_HIv2___RNAseq.18068_t	27	8	16	17	27	16	15	12	16	15	12	12	46	19	33
Pocillopora_acuta_HIv2___RNAseq.18074_t	46	32	39	44	43	45	51	34	48	38	32	47	93	45	82
Pocillopora_acuta_HIv2___RNAseq.18107_t	61	61	40	24	27	28	44	48	41	38	23	44	50	25	50
Pocillopora_acuta_HIv2___RNAseq.18284_t	1	4	2	6	9	8	1	1	2	1	0	1	21	12	11
Pocillopora_acuta_HIv2___RNAseq.18338_t	2	4	4	51	38	12	1	2	1	2	6	3	53	34	72
Pocillopora_acuta_HIv2___RNAseq.18339_t	0	0	0	6	4	0	1	1	5	1	2	0	5	3	10
Pocillopora_acuta_HIv2___RNAseq.18344_t	36	15	28	24	35	41	23	23	28	29	33	30	78	37	61
